feature,psi
act_still_ep_0_mean,0.14619153380419908
unlock_duration_ep_0_mean,0.084549206174666
act_still_ep_0_std,0.07902666844117065
loc_study_dur_std,0.06533133380161789
act_in_vehicle_ep_0_mean,0.057376548456050225
unlock_duration_ep_0_std,0.05440318622383933
loc_study_dur_mean,0.05300701723142163
loc_self_dorm_dur_mean,0.04633575613941955
other_playing_duration_ep_0_mean,0.04563842969739039
loc_self_dorm_dur_std,0.04444725849625066
loc_social_dur_mean,0.03536214739449551
act_on_bike_ep_0_std,0.029106336085023006
loc_social_dur_std,0.029044342908474057
act_on_bike_ep_0_mean,0.028669106356742993
unlock_num_ep_0_mean,0.022059307186475287
label_lag1,0.01679068575587317
act_in_vehicle_ep_0_std,0.016012502815772062
other_playing_duration_ep_0_std,0.01306560661662678
unlock_num_ep_0_std,0.013044972359769678
sleep_duration_std,0.007308889217400695
sleep_duration_mean,0.006946079017573824
n_surveys_in_week,0.003721459610501017
is_ios,0.0
